month,mean_shoreline_change,ecan_storm_hours,ecan_max_Hs,ecan_mean_Hs,ecan_mean_dir,model_storm_hours,model_max_Hs,model_mean_Hs,model_mean_dir,erosion_month,storm_type
1999-01-07,,10.0,3.22,2.694,150.844,20.0,6.1611,4.8350275,148.5197,False,1
1999-01-08,2.105517241379311,7.0,3.6,3.117142857142857,177.68285714285713,2.0,4.4776,4.375579999999999,195.086,False,2
1999-01-09,3.2660157126823792,2.0,3.62,3.16,161.10500000000002,7.0,4.5849,4.377565714285714,197.31242857142857,False,2
1999-01-10,3.7807142857142857,,,,,,,,,False,1
1999-01-11,1.1936590909090912,,,,,,,,,False,1
1999-01-12,-0.0192503912363065,,,,,6.0,5.73823,5.005708333333334,200.6663333333333,True,1
2000-01-01,0.2169435104236719,,,,,8.0,4.88751,4.33267125,180.0294125,False,1
2000-01-02,1.4364026349614398,,,,,,,,,False,1
2000-01-03,2.0433070422535207,,,,,2.0,4.23576,4.208635,164.5115,False,1
2000-01-04,-0.4601316595223522,,,,,5.0,6.45521,5.412306,196.1088,True,1
2000-01-05,1.6469832167832172,,,,,4.0,4.29357,4.1511925,58.17205,False,1
2000-01-06,-0.4502693548387096,,,,,12.0,5.4482,4.731565,187.12833333333333,True,1
2000-01-07,-0.5544607087827434,4.0,2.66,2.575,82.7125,,,,,True,0
2000-01-08,-0.3754047619047614,9.0,3.26,2.761111111111111,148.8422222222222,5.0,6.22455,5.43743,201.027,True,2
2000-01-09,0.0129363110008272,7.0,3.25,2.748571428571428,140.31571428571428,5.0,5.06071,4.686322,188.3956,False,2
2000-01-10,-0.0278858267716541,9.0,3.27,2.811111111111112,181.65666666666667,8.0,6.8488,5.7570225,203.074875,True,2
2000-01-11,-1.5452694898941286,9.0,3.18,2.85,200.09444444444443,8.0,6.7559,5.2631875,204.711,True,2
2000-01-12,1.0039712732919246,4.0,2.98,2.6825,138.2575,,,,,False,0
2001-01-01,3.520770690964313,8.0,3.45,2.9275,185.71875,3.0,4.76757,4.632806666666666,203.281,False,2
2001-01-02,0.8449750138811776,1.0,2.56,2.56,191.34,,,,,False,1
2001-01-03,1.211938775510205,8.0,3.2,2.7125,153.72625,,,,,False,1
2001-01-04,0.1775410583941588,13.0,5.47,3.167692307692308,190.1530769230769,7.0,5.00398,4.725281428571429,199.78185714285715,False,2
2001-01-05,-1.4935210341805427,9.0,3.29,2.921111111111111,198.8422222222222,6.0,4.83473,4.538775,204.1685,True,2
2001-01-06,-1.4649858457183298,12.0,2.9,2.69,203.1808333333333,3.0,4.596,4.408803333333334,201.712,True,1
2001-01-07,-3.5990518274415813,11.0,3.35,2.777272727272728,172.8081818181818,27.0,5.09981,4.638132222222222,144.60322222222223,True,2
2001-01-08,1.369111186211558,14.0,3.28,2.7528571428571427,124.54714285714286,,,,,False,0
2001-01-09,0.917175609756098,6.0,3.55,2.8666666666666667,160.8733333333333,4.0,4.19941,4.09966,202.242,False,2
2001-01-10,1.324252661752661,6.0,2.81,2.6366666666666667,110.015,,,,,False,0
2001-01-11,2.7284615384615383,3.0,2.69,2.5666666666666664,191.34333333333333,1.0,4.54273,4.54273,213.698,False,1
2001-01-12,0.8573166023166019,7.0,3.31,2.6885714285714286,117.81714285714284,,,,,False,0
2002-01-01,0.0951588983050847,5.0,2.67,2.606,124.406,1.0,4.02764,4.02764,117.183,False,0
2002-01-02,-1.0872487562189053,12.0,3.08,2.668333333333333,124.3125,12.0,6.59676,5.518275,180.80341666666664,True,0
2002-01-03,-1.0072960108794198,5.0,2.95,2.688,180.658,9.0,4.3738,4.185147777777778,200.05288888888887,True,1
