start_time,end_time,duration_hours,peak_Hs,mean_direction,storm_type,storm_type_name
1999-08-29 19:00:00,1999-09-01 22:00:00,75.0,5.076,179.96731851179672,2,Severe Long-Duration
1999-09-03 19:00:00,1999-09-04 10:00:00,15.0,3.112,181.52641163793103,0,Moderate Short-Duration
1999-09-05 05:00:00,1999-09-05 08:00:00,3.0,2.574,163.9844396551724,0,Moderate Short-Duration
1999-09-05 22:00:00,1999-09-07 02:00:00,28.0,3.348,50.52972948870393,1,Short-Lived Directional
1999-09-07 04:00:00,1999-09-09 18:00:00,62.0,4.716,183.4891543513957,0,Moderate Short-Duration
1999-09-12 00:00:00,1999-09-13 07:00:00,31.0,3.488,126.76605064655172,1,Short-Lived Directional
1999-09-14 03:00:00,1999-09-14 06:00:00,3.0,2.54,100.16314655172414,1,Short-Lived Directional
1999-09-14 21:00:00,1999-09-15 02:00:00,5.0,2.65,98.87255747126436,1,Short-Lived Directional
1999-09-16 14:00:00,1999-09-16 23:00:00,9.0,2.75,156.17281034482758,0,Moderate Short-Duration
1999-09-18 09:00:00,1999-09-18 23:00:00,14.0,3.184,67.76930459770115,1,Short-Lived Directional
1999-09-19 07:00:00,1999-09-22 03:00:00,68.0,4.498,139.66224262868565,0,Moderate Short-Duration
1999-09-22 20:00:00,1999-09-23 03:00:00,7.0,2.578,178.00817887931035,0,Moderate Short-Duration
1999-09-26 07:00:00,1999-10-02 02:00:00,139.0,5.302,188.72733066502465,2,Severe Long-Duration
1999-10-03 13:00:00,1999-10-03 17:00:00,4.0,2.542,183.9445,0,Moderate Short-Duration
1999-10-04 01:00:00,1999-10-07 09:00:00,80.0,3.672,187.24172094508305,0,Moderate Short-Duration
1999-10-09 19:00:00,1999-10-16 19:00:00,168.0,4.918,180.0096475209141,2,Severe Long-Duration
1999-10-20 02:00:00,1999-10-22 09:00:00,55.0,4.49,124.53528325123152,1,Short-Lived Directional
1999-10-22 20:00:00,1999-10-24 17:00:00,45.0,3.158,187.00384499308785,0,Moderate Short-Duration
1999-10-25 07:00:00,1999-10-27 20:00:00,61.0,3.636,119.11489293659622,1,Short-Lived Directional
1999-10-29 15:00:00,1999-10-30 11:00:00,20.0,2.974,113.36697454844006,1,Short-Lived Directional
1999-10-30 15:00:00,1999-10-31 02:00:00,11.0,2.668,181.2900143678161,0,Moderate Short-Duration
1999-10-31 09:00:00,1999-10-31 09:00:00,0.0,2.506,146.93155172413793,0,Moderate Short-Duration
1999-10-31 13:00:00,1999-11-03 11:00:00,70.0,3.492,117.81611461874697,1,Short-Lived Directional
1999-11-04 15:00:00,1999-11-07 11:00:00,68.0,3.182,101.09907296351824,1,Short-Lived Directional
1999-11-09 17:00:00,1999-11-09 22:00:00,5.0,2.588,58.2451867816092,1,Short-Lived Directional
1999-11-10 00:00:00,1999-11-13 18:00:00,90.0,5.612,128.65789503599848,2,Severe Long-Duration
1999-11-15 13:00:00,1999-11-18 04:00:00,63.0,4.304,73.1775094288793,1,Short-Lived Directional
1999-11-20 05:00:00,1999-11-22 17:00:00,60.0,4.026,152.62262860373093,0,Moderate Short-Duration
1999-11-27 00:00:00,1999-12-04 01:00:00,169.0,5.06,183.52722971602435,2,Severe Long-Duration
1999-12-06 05:00:00,1999-12-07 03:00:00,22.0,2.876,188.28803973013493,0,Moderate Short-Duration
1999-12-11 03:00:00,1999-12-11 18:00:00,15.0,2.828,64.61130387931034,1,Short-Lived Directional
1999-12-13 02:00:00,1999-12-18 15:00:00,133.0,5.606,164.1937184765826,2,Severe Long-Duration
1999-12-18 18:00:00,1999-12-19 04:00:00,10.0,2.598,133.15565047021943,0,Moderate Short-Duration
1999-12-19 23:00:00,1999-12-24 00:00:00,97.0,3.234,174.08725093079826,0,Moderate Short-Duration
1999-12-24 14:00:00,1999-12-25 09:00:00,19.0,2.978,188.9535344827586,0,Moderate Short-Duration
1999-12-27 00:00:00,1999-12-27 19:00:00,19.0,2.888,173.2656896551724,0,Moderate Short-Duration
1999-12-31 08:00:00,1999-12-31 22:00:00,14.0,3.254,81.56732183908046,1,Short-Lived Directional
2000-01-02 12:00:00,2000-01-04 20:00:00,56.0,4.722,199.18173774954627,0,Moderate Short-Duration
2000-01-08 02:00:00,2000-01-08 20:00:00,18.0,2.766,190.82917422867513,0,Moderate Short-Duration
2000-01-09 15:00:00,2000-01-10 17:00:00,26.0,3.08,185.99670817369093,0,Moderate Short-Duration
2000-01-21 01:00:00,2000-01-22 20:00:00,43.0,3.84,74.96507641065831,1,Short-Lived Directional
2000-01-23 12:00:00,2000-01-24 19:00:00,31.0,3.474,116.27948814655171,1,Short-Lived Directional
2000-01-25 18:00:00,2000-01-25 18:00:00,0.0,2.516,174.1288793103448,0,Moderate Short-Duration
2000-01-29 04:00:00,2000-02-03 15:00:00,131.0,6.794,151.94687173458726,2,Severe Long-Duration
2000-02-06 02:00:00,2000-02-06 02:00:00,0.0,2.516,181.69724137931033,0,Moderate Short-Duration
2000-02-06 08:00:00,2000-02-09 06:00:00,70.0,5.04,186.6313428848956,0,Moderate Short-Duration
2000-02-09 09:00:00,2000-02-10 07:00:00,22.0,2.592,186.55374437781109,0,Moderate Short-Duration
2000-02-11 10:00:00,2000-02-12 07:00:00,21.0,2.798,79.08012147335423,1,Short-Lived Directional
2000-02-12 11:00:00,2000-02-12 21:00:00,10.0,2.788,69.49274294670846,1,Short-Lived Directional
2000-02-13 04:00:00,2000-02-13 07:00:00,3.0,2.59,66.99191810344828,1,Short-Lived Directional
2000-02-13 13:00:00,2000-02-15 01:00:00,36.0,3.786,157.76567334575955,0,Moderate Short-Duration
2000-02-17 15:00:00,2000-02-18 09:00:00,18.0,2.964,192.15699637023593,0,Moderate Short-Duration
2000-02-21 10:00:00,2000-02-23 20:00:00,58.0,3.658,188.4209190531853,0,Moderate Short-Duration
2000-02-25 15:00:00,2000-02-27 06:00:00,39.0,4.682,184.77139224137932,0,Moderate Short-Duration
2000-02-27 14:00:00,2000-02-29 14:00:00,48.0,4.206,184.1177973258269,0,Moderate Short-Duration
2000-02-29 17:00:00,2000-03-01 11:00:00,18.0,2.972,184.0151542649728,0,Moderate Short-Duration
2000-03-02 00:00:00,2000-03-03 08:00:00,32.0,3.188,172.9413975966562,0,Moderate Short-Duration
2000-03-04 17:00:00,2000-03-06 00:00:00,31.0,3.312,157.56139816810344,0,Moderate Short-Duration
2000-03-06 03:00:00,2000-03-06 06:00:00,3.0,2.522,133.25105603448276,0,Moderate Short-Duration
2000-03-06 16:00:00,2000-03-10 15:00:00,95.0,4.556,183.98773527298852,0,Moderate Short-Duration
2000-03-11 17:00:00,2000-03-12 08:00:00,15.0,3.022,165.38629310344828,0,Moderate Short-Duration
2000-03-12 22:00:00,2000-03-14 20:00:00,46.0,5.226,150.1301412325752,0,Moderate Short-Duration
2000-03-15 17:00:00,2000-03-16 05:00:00,12.0,2.716,147.85865384615383,0,Moderate Short-Duration
2000-03-18 11:00:00,2000-03-22 17:00:00,102.0,4.8,171.7238608972213,2,Severe Long-Duration
2000-03-25 05:00:00,2000-03-26 18:00:00,37.0,2.776,101.89362522686024,1,Short-Lived Directional
2000-03-29 04:00:00,2000-03-29 12:00:00,8.0,2.744,77.85688697318008,1,Short-Lived Directional
2000-03-29 22:00:00,2000-03-30 11:00:00,13.0,2.998,173.24432266009853,0,Moderate Short-Duration
2000-03-31 07:00:00,2000-04-02 22:00:00,63.0,3.226,178.0414022090517,0,Moderate Short-Duration
2000-04-03 19:00:00,2000-04-04 16:00:00,21.0,3.7,60.243369905956115,1,Short-Lived Directional
2000-04-04 20:00:00,2000-04-08 22:00:00,98.0,4.094,143.46735806339257,0,Moderate Short-Duration
2000-04-09 13:00:00,2000-04-10 10:00:00,21.0,2.828,113.9355289968652,1,Short-Lived Directional
2000-04-10 12:00:00,2000-04-15 16:00:00,124.0,5.352,174.6927579310345,2,Severe Long-Duration
2000-04-19 19:00:00,2000-04-20 01:00:00,6.0,2.7,116.30200738916255,1,Short-Lived Directional
2000-04-20 05:00:00,2000-04-20 14:00:00,9.0,2.654,175.28074137931034,0,Moderate Short-Duration
2000-04-23 05:00:00,2000-04-24 03:00:00,22.0,4.194,123.05456521739131,1,Short-Lived Directional
2000-04-24 09:00:00,2000-04-29 18:00:00,129.0,7.534,188.9438972148541,2,Severe Long-Duration
2000-05-03 15:00:00,2000-05-09 09:00:00,138.0,4.812,181.35522264946664,2,Severe Long-Duration
2000-05-11 03:00:00,2000-05-12 00:00:00,21.0,2.634,186.72725313479623,0,Moderate Short-Duration
2000-05-12 18:00:00,2000-05-13 19:00:00,25.0,3.748,177.9614854111406,0,Moderate Short-Duration
2000-05-15 06:00:00,2000-05-15 07:00:00,1.0,2.528,88.10637931034483,1,Short-Lived Directional
2000-05-15 18:00:00,2000-05-17 12:00:00,42.0,4.374,189.99218323977547,0,Moderate Short-Duration
2000-05-18 00:00:00,2000-05-24 04:00:00,148.0,4.216,187.24382203193704,2,Severe Long-Duration
2000-05-25 08:00:00,2000-05-25 17:00:00,9.0,2.602,122.45910344827588,1,Short-Lived Directional
2000-05-28 00:00:00,2000-06-06 04:00:00,220.0,5.848,109.5134931346544,2,Severe Long-Duration
2000-06-06 23:00:00,2000-06-07 12:00:00,13.0,3.054,137.1261145320197,0,Moderate Short-Duration
2000-06-09 19:00:00,2000-06-16 03:00:00,152.0,6.91,180.46846996478843,2,Severe Long-Duration
2000-06-16 11:00:00,2000-06-21 01:00:00,110.0,7.182,199.27620301335816,2,Severe Long-Duration
2000-06-24 15:00:00,2000-06-25 12:00:00,21.0,3.194,54.6467868338558,1,Short-Lived Directional
2000-06-27 13:00:00,2000-06-29 22:00:00,57.0,3.758,73.78001634958383,1,Short-Lived Directional
2000-06-30 01:00:00,2000-06-30 08:00:00,7.0,2.598,108.22946120689656,1,Short-Lived Directional
2000-07-03 05:00:00,2000-07-05 04:00:00,47.0,3.322,162.93485452586205,0,Moderate Short-Duration
2000-07-05 12:00:00,2000-07-06 08:00:00,20.0,2.666,99.89165435139572,1,Short-Lived Directional
2000-07-11 18:00:00,2000-07-13 04:00:00,34.0,2.796,73.96786206896552,1,Short-Lived Directional
2000-07-13 06:00:00,2000-07-15 06:00:00,48.0,3.36,73.80177163969036,1,Short-Lived Directional
2000-07-19 22:00:00,2000-07-22 01:00:00,51.0,3.73,67.14800397877984,1,Short-Lived Directional
2000-07-22 12:00:00,2000-07-24 15:00:00,51.0,4.082,143.37060676392574,0,Moderate Short-Duration
2000-07-25 14:00:00,2000-08-02 13:00:00,191.0,4.968,170.22122934626438,2,Severe Long-Duration
2000-08-04 17:00:00,2000-08-07 19:00:00,74.0,3.626,187.66333333333333,0,Moderate Short-Duration
2000-08-08 10:00:00,2000-08-09 02:00:00,16.0,2.684,181.60967038539553,0,Moderate Short-Duration
2000-08-09 21:00:00,2000-08-15 16:00:00,139.0,7.234,180.17357142857145,2,Severe Long-Duration
2000-08-16 03:00:00,2000-08-16 07:00:00,4.0,2.532,145.1036551724138,0,Moderate Short-Duration
2000-08-16 22:00:00,2000-08-20 07:00:00,81.0,4.62,118.37716042893187,1,Short-Lived Directional
2000-08-22 06:00:00,2000-08-22 21:00:00,15.0,2.752,186.77378232758625,0,Moderate Short-Duration
2000-08-23 21:00:00,2000-09-01 21:00:00,216.0,3.612,135.55743723184492,2,Severe Long-Duration
2000-09-04 22:00:00,2000-09-05 20:00:00,22.0,3.22,112.52078335832084,1,Short-Lived Directional
2000-09-06 00:00:00,2000-09-12 05:00:00,149.0,5.14,118.43616609195402,2,Severe Long-Duration
2000-09-12 22:00:00,2000-09-14 14:00:00,40.0,3.64,140.73435239697224,0,Moderate Short-Duration
2000-09-17 07:00:00,2000-09-18 03:00:00,20.0,2.932,155.53162561576357,0,Moderate Short-Duration
2000-09-18 05:00:00,2000-09-21 19:00:00,86.0,3.778,180.25129409433217,0,Moderate Short-Duration
2000-09-22 08:00:00,2000-09-23 03:00:00,19.0,2.718,158.2255646551724,0,Moderate Short-Duration
2000-09-23 06:00:00,2000-09-30 23:00:00,185.0,5.028,169.84943270300334,2,Severe Long-Duration
2000-10-01 06:00:00,2000-10-13 10:00:00,292.0,7.538,172.8166638225256,2,Severe Long-Duration
2000-10-14 11:00:00,2000-10-18 12:00:00,97.0,5.276,145.7456896551724,2,Severe Long-Duration
2000-10-24 13:00:00,2000-10-25 00:00:00,11.0,2.64,178.33857758620687,0,Moderate Short-Duration
2000-10-25 04:00:00,2000-10-25 21:00:00,17.0,2.928,179.4693295019157,0,Moderate Short-Duration
2000-10-26 09:00:00,2000-10-27 08:00:00,23.0,2.744,180.64505028735633,0,Moderate Short-Duration
2000-10-29 01:00:00,2000-11-01 00:00:00,71.0,4.768,120.29813577586206,1,Short-Lived Directional
2000-11-01 14:00:00,2000-11-02 19:00:00,29.0,3.558,185.991066091954,0,Moderate Short-Duration
2000-11-07 11:00:00,2000-11-08 22:00:00,35.0,4.118,185.215941091954,0,Moderate Short-Duration
2000-11-14 03:00:00,2000-11-20 03:00:00,144.0,6.684,189.8870416171225,2,Severe Long-Duration
2000-11-20 14:00:00,2000-11-23 13:00:00,71.0,3.48,200.5711242816092,0,Moderate Short-Duration
2000-11-24 04:00:00,2000-11-24 06:00:00,2.0,2.646,132.9507183908046,0,Moderate Short-Duration
2000-11-24 23:00:00,2000-11-25 23:00:00,24.0,2.878,191.51422068965516,0,Moderate Short-Duration
2000-11-28 03:00:00,2000-11-28 12:00:00,9.0,2.796,156.09277586206898,0,Moderate Short-Duration
2000-11-28 14:00:00,2000-11-29 14:00:00,24.0,3.954,178.33979310344827,0,Moderate Short-Duration
2000-12-02 00:00:00,2000-12-03 08:00:00,32.0,3.134,148.09377742946708,0,Moderate Short-Duration
2000-12-06 03:00:00,2000-12-06 08:00:00,5.0,2.514,63.00997126436781,1,Short-Lived Directional
2000-12-10 14:00:00,2000-12-11 21:00:00,31.0,3.306,73.0297817887931,1,Short-Lived Directional
2000-12-13 13:00:00,2000-12-13 23:00:00,10.0,2.656,68.3367946708464,1,Short-Lived Directional
2000-12-20 21:00:00,2000-12-23 22:00:00,73.0,6.012,183.29887232059647,2,Severe Long-Duration
2000-12-24 15:00:00,2000-12-28 17:00:00,98.0,4.474,144.371649251132,0,Moderate Short-Duration
2000-12-29 07:00:00,2001-01-02 06:00:00,95.0,4.528,182.6203861350575,0,Moderate Short-Duration
2001-01-13 00:00:00,2001-01-14 16:00:00,40.0,3.61,186.85663582842724,0,Moderate Short-Duration
2001-01-15 08:00:00,2001-01-19 00:00:00,88.0,4.966,163.78601220457188,2,Severe Long-Duration
2001-01-19 20:00:00,2001-01-21 08:00:00,36.0,3.602,188.028825722274,0,Moderate Short-Duration
2001-01-21 18:00:00,2001-01-24 16:00:00,70.0,3.48,186.48789096648855,0,Moderate Short-Duration
2001-01-24 23:00:00,2001-01-28 04:00:00,77.0,6.166,194.06293987621572,2,Severe Long-Duration
2001-01-31 10:00:00,2001-02-03 02:00:00,64.0,3.742,181.4323952254642,0,Moderate Short-Duration
2001-02-03 16:00:00,2001-02-03 23:00:00,7.0,2.66,188.57790948275863,0,Moderate Short-Duration
2001-02-04 04:00:00,2001-02-07 11:00:00,79.0,4.594,187.731536637931,0,Moderate Short-Duration
2001-02-07 15:00:00,2001-02-08 10:00:00,19.0,2.764,185.41285775862067,0,Moderate Short-Duration
2001-02-10 02:00:00,2001-02-10 06:00:00,4.0,2.596,141.52522413793105,0,Moderate Short-Duration
2001-02-11 21:00:00,2001-02-12 18:00:00,21.0,3.128,169.1560501567398,0,Moderate Short-Duration
2001-02-15 06:00:00,2001-02-15 07:00:00,1.0,2.536,77.00487068965516,1,Short-Lived Directional
2001-02-17 14:00:00,2001-02-19 11:00:00,45.0,2.902,171.8121720389805,0,Moderate Short-Duration
2001-02-20 18:00:00,2001-02-22 01:00:00,31.0,4.112,181.5811853448276,0,Moderate Short-Duration
2001-02-22 17:00:00,2001-02-22 23:00:00,6.0,2.644,177.34655172413792,0,Moderate Short-Duration
2001-03-01 16:00:00,2001-03-03 04:00:00,36.0,3.286,169.5506383970177,0,Moderate Short-Duration
